plan_id,phase,day_no,ramp_ingredient,forage_type,wt_min,wt_max,target_adg,Single Bag Wanda (W MGF),Chari,Wheat Straw (Toori),Limestone,Maize Silage,Potato,Sodium bicarbonate (Meetha Soda),Monensin,est_cost_per_head_per_day
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,220,224,1.4,2.613,2.962,0.6,0.013,5.57,8.586,0.031,0.0002,438
max-potato,STEADY,,,chari+silage,220,224,1.4,2.613,2.962,0.6,0.013,5.57,8.586,0.031,0.0002,438
max-potato,ADAPTATION,1,,chari+silage,225,229,0.4,2.457,3.43,0.9,0,0,0,0,0,238
max-potato,ADAPTATION,2,,chari+silage,225,229,0.58,2.771,4.776,0.85,0.001,0,0,0,0,271
max-potato,ADAPTATION,3,,chari+silage,225,229,0.78,3.137,6,0.811,0.001,0.168,0,0,0,310
max-potato,ADAPTATION,4,,chari+silage,225,229,0.96,3.495,6,0.732,0.004,1.332,0,0,0,352
max-potato,ADAPTATION,5,,chari+silage,225,229,1.15,3.854,6,0.632,0.006,2.573,0,0,0,395
max-potato,ADAPTATION,6,,chari+silage,225,229,1.4,4.481,3,0.742,0.011,5.752,0,0,0,468
max-potato,ADAPTATION,7,,chari+silage,225,229,1.4,4.481,3,0.742,0.011,5.752,0,0,0,468
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,225,229,1.4,2.656,3.0,0.611,0.013,10.825,1.744,0.031,0.0002,448
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,225,229,1.4,2.656,3.0,0.611,0.013,9.534,3.489,0.031,0.0002,448
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,225,229,1.4,2.656,3.0,0.611,0.013,8.244,5.233,0.031,0.0002,447
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,225,229,1.4,2.656,3.0,0.611,0.013,6.953,6.977,0.031,0.0002,446
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,225,229,1.4,2.656,3.0,0.611,0.013,5.662,8.721,0.031,0.0002,445
max-potato,STEADY,,,chari+silage,225,229,1.4,2.656,3.0,0.611,0.013,5.662,8.721,0.031,0.0002,445
max-potato,ADAPTATION,1,,chari+silage,230,234,0.41,2.495,3.56,0.9,0,0,0,0,0,242
max-potato,ADAPTATION,2,,chari+silage,230,234,0.59,2.814,4.921,0.85,0.001,0,0,0,0,275
max-potato,ADAPTATION,3,,chari+silage,230,234,0.78,3.185,6,0.811,0.002,0.282,0,0,0,315
max-potato,ADAPTATION,4,,chari+silage,230,234,0.96,3.549,6,0.732,0.004,1.459,0,0,0,358
max-potato,ADAPTATION,5,,chari+silage,230,234,1.15,3.913,6,0.633,0.006,2.713,0,0,0,401
max-potato,ADAPTATION,6,,chari+silage,230,234,1.4,4.55,3,0.733,0.012,5.95,0,0,0,476
max-potato,ADAPTATION,7,,chari+silage,230,234,1.4,4.55,3,0.733,0.012,5.95,0,0,0,476
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,230,234,1.4,2.7,3.0,0.628,0.014,11.001,1.769,0.032,0.0002,456
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,230,234,1.4,2.7,3.0,0.628,0.014,9.692,3.538,0.032,0.0002,455
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,230,234,1.4,2.7,3.0,0.628,0.014,8.383,5.307,0.032,0.0002,454
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,230,234,1.4,2.7,3.0,0.628,0.014,7.074,7.076,0.032,0.0002,453
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,230,234,1.4,2.7,3.0,0.628,0.014,5.765,8.846,0.032,0.0002,452
max-potato,STEADY,,,chari+silage,230,234,1.4,2.7,3.0,0.628,0.014,5.765,8.846,0.032,0.0002,452
max-potato,ADAPTATION,1,,chari+silage,235,239,0.41,2.532,3.686,0.9,0,0,0,0,0,245
max-potato,ADAPTATION,2,,chari+silage,235,239,0.59,2.855,5.063,0.85,0.001,0,0,0,0,279
max-potato,ADAPTATION,3,,chari+silage,235,239,0.78,3.232,6,0.812,0.002,0.393,0,0,0,320
max-potato,ADAPTATION,4,,chari+silage,235,239,0.96,3.602,6,0.733,0.004,1.582,0,0,0,364
max-potato,ADAPTATION,5,,chari+silage,235,239,1.14,3.971,6,0.633,0.007,2.85,0,0,0,408
max-potato,ADAPTATION,6,,chari+silage,235,239,1.4,4.618,3,0.72,0.012,6.164,0,0,0,484
max-potato,ADAPTATION,7,,chari+silage,235,239,1.4,4.618,3,0.72,0.012,6.164,0,0,0,484
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,235,239,1.4,2.744,3.0,0.644,0.014,11.177,1.794,0.032,0.0002,463
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,235,239,1.4,2.744,3.0,0.644,0.014,9.849,3.588,0.032,0.0002,462
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,235,239,1.4,2.744,3.0,0.644,0.014,8.522,5.382,0.032,0.0002,461
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,235,239,1.4,2.744,3.0,0.644,0.014,7.194,7.176,0.032,0.0002,460
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,235,239,1.4,2.744,3.0,0.644,0.014,5.867,8.969,0.032,0.0002,459
max-potato,STEADY,,,chari+silage,235,239,1.4,2.744,3.0,0.644,0.014,5.867,8.969,0.032,0.0002,459
max-potato,ADAPTATION,1,,chari+silage,240,244,0.41,2.568,3.808,0.9,0,0,0,0,0,249
max-potato,ADAPTATION,2,,chari+silage,240,244,0.59,2.896,5.202,0.85,0.001,0,0,0,0,284
max-potato,ADAPTATION,3,,chari+silage,240,244,0.78,3.278,6,0.812,0.002,0.501,0,0,0,325
max-potato,ADAPTATION,4,,chari+silage,240,244,0.96,3.653,6,0.733,0.004,1.703,0,0,0,369
max-potato,ADAPTATION,5,,chari+silage,240,244,1.14,4.028,6,0.634,0.007,2.983,0,0,0,414
max-potato,ADAPTATION,6,,chari+silage,240,244,1.4,4.683,3,0.701,0.012,6.393,0,0,0,492
max-potato,ADAPTATION,7,,chari+silage,240,244,1.4,4.683,3,0.701,0.012,6.393,0,0,0,492
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,240,244,1.4,2.786,3.0,0.66,0.014,11.346,1.818,0.033,0.0002,469
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,240,244,1.4,2.786,3.0,0.66,0.014,10.001,3.635,0.033,0.0002,468
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,240,244,1.4,2.786,3.0,0.66,0.014,8.655,5.453,0.033,0.0002,468
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,240,244,1.4,2.786,3.0,0.66,0.014,7.31,7.271,0.033,0.0002,467
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,240,244,1.4,2.786,3.0,0.66,0.014,5.965,9.089,0.033,0.0002,466
max-potato,STEADY,,,chari+silage,240,244,1.4,2.786,3.0,0.66,0.014,5.965,9.089,0.033,0.0002,466
max-potato,ADAPTATION,1,,chari+silage,245,249,0.41,2.603,3.928,0.9,0,0,0,0,0,253
max-potato,ADAPTATION,2,,chari+silage,245,249,0.59,2.935,5.337,0.85,0.001,0,0,0,0,288
max-potato,ADAPTATION,3,,chari+silage,245,249,0.78,3.323,6,0.813,0.002,0.606,0,0,0,330
max-potato,ADAPTATION,4,,chari+silage,245,249,0.96,3.703,6,0.734,0.005,1.82,0,0,0,375
max-potato,ADAPTATION,5,,chari+silage,245,249,1.14,4.083,6,0.634,0.007,3.113,0,0,0,420
max-potato,ADAPTATION,6,,chari+silage,245,249,1.4,4.747,3,0.678,0.013,6.636,0,0,0,500
max-potato,ADAPTATION,7,,chari+silage,245,249,1.4,4.747,3,0.678,0.013,6.636,0,0,0,500
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,245,249,1.4,2.828,3.0,0.676,0.014,11.513,1.841,0.033,0.0002,476
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,245,249,1.4,2.828,3.0,0.676,0.014,10.151,3.683,0.033,0.0002,475
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,245,249,1.4,2.828,3.0,0.676,0.014,8.788,5.524,0.033,0.0002,474
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,245,249,1.4,2.828,3.0,0.676,0.014,7.426,7.366,0.033,0.0002,473
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,245,249,1.4,2.828,3.0,0.676,0.014,6.063,9.207,0.033,0.0002,472
max-potato,STEADY,,,chari+silage,245,249,1.4,2.828,3.0,0.676,0.014,6.063,9.207,0.033,0.0002,472
max-potato,ADAPTATION,1,,chari+silage,250,254,0.41,2.637,4.045,0.9,0,0,0,0,0,256
max-potato,ADAPTATION,2,,chari+silage,250,254,0.58,2.974,5.468,0.85,0.001,0,0,0,0,292
max-potato,ADAPTATION,3,,chari+silage,250,254,0.77,3.367,6,0.813,0.002,0.708,0,0,0,335
max-potato,ADAPTATION,4,,chari+silage,250,254,0.95,3.751,6,0.734,0.005,1.935,0,0,0,380
max-potato,ADAPTATION,5,,chari+silage,250,254,1.14,4.136,6,0.635,0.007,3.239,0,0,0,426
max-potato,ADAPTATION,6,,chari+silage,250,254,1.4,4.809,3,0.649,0.013,6.896,0,0,0,508
max-potato,ADAPTATION,7,,chari+silage,250,254,1.4,4.809,3,0.649,0.013,6.896,0,0,0,508
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,250,254,1.4,2.868,3.0,0.691,0.014,11.677,1.865,0.033,0.0002,483
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,250,254,1.4,2.868,3.0,0.691,0.014,10.297,3.729,0.033,0.0002,482
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,250,254,1.4,2.868,3.0,0.691,0.014,8.918,5.594,0.033,0.0002,481
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,250,254,1.4,2.868,3.0,0.691,0.014,7.538,7.458,0.033,0.0002,480
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,250,254,1.4,2.868,3.0,0.691,0.014,6.158,9.323,0.033,0.0002,479
max-potato,STEADY,,,chari+silage,250,254,1.4,2.868,3.0,0.691,0.014,6.158,9.323,0.033,0.0002,479
max-potato,ADAPTATION,1,,chari+silage,255,259,0.41,2.671,4.158,0.9,0,0,0,0,0,260
max-potato,ADAPTATION,2,,chari+silage,255,259,0.58,3.011,5.596,0.85,0.001,0,0,0,0,295
max-potato,ADAPTATION,3,,chari+silage,255,259,0.77,3.409,6,0.814,0.003,0.808,0,0,0,340
max-potato,ADAPTATION,4,,chari+silage,255,259,0.95,3.799,6,0.735,0.005,2.046,0,0,0,385
max-potato,ADAPTATION,5,,chari+silage,255,259,1.13,4.188,6,0.635,0.008,3.361,0,0,0,432
max-potato,ADAPTATION,6,,chari+silage,255,259,1.4,4.87,3,0.616,0.014,7.17,0,0,0,515
max-potato,ADAPTATION,7,,chari+silage,255,259,1.4,4.87,3,0.616,0.014,7.17,0,0,0,515
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,255,259,1.4,2.909,3.0,0.707,0.014,11.839,1.887,0.034,0.0002,489
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,255,259,1.4,2.909,3.0,0.707,0.014,10.443,3.775,0.034,0.0002,488
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,255,259,1.4,2.909,3.0,0.707,0.014,9.046,5.662,0.034,0.0002,487
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,255,259,1.4,2.909,3.0,0.707,0.014,7.649,7.55,0.034,0.0002,486
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,255,259,1.4,2.909,3.0,0.707,0.014,6.253,9.437,0.034,0.0002,485
max-potato,STEADY,,,chari+silage,255,259,1.4,2.909,3.0,0.707,0.014,6.253,9.437,0.034,0.0002,485
max-potato,ADAPTATION,1,,chari+silage,260,264,0.41,2.703,4.268,0.9,0,0,0,0,0,263
max-potato,ADAPTATION,2,,chari+silage,260,264,0.58,3.048,5.72,0.85,0.001,0,0,0,0,299
max-potato,ADAPTATION,3,,chari+silage,260,264,0.77,3.45,6,0.814,0.003,0.904,0,0,0,344
max-potato,ADAPTATION,4,,chari+silage,260,264,0.95,3.845,6,0.735,0.005,2.154,0,0,0,390
max-potato,ADAPTATION,5,,chari+silage,260,264,1.13,4.239,6,0.636,0.008,3.481,0,0,0,437
max-potato,ADAPTATION,6,,chari+silage,260,264,1.4,4.929,3,0.577,0.015,7.461,0,0,0,523
max-potato,ADAPTATION,7,,chari+silage,260,264,1.4,4.929,3,0.577,0.015,7.461,0,0,0,523
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,260,264,1.4,2.949,3.0,0.722,0.015,11.997,1.91,0.034,0.0002,496
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,260,264,1.4,2.949,3.0,0.722,0.015,10.584,3.819,0.034,0.0002,495
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,260,264,1.4,2.949,3.0,0.722,0.015,9.171,5.729,0.034,0.0002,494
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,260,264,1.4,2.949,3.0,0.722,0.015,7.758,7.639,0.034,0.0002,493
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,260,264,1.4,2.949,3.0,0.722,0.015,6.345,9.549,0.034,0.0002,492
max-potato,STEADY,,,chari+silage,260,264,1.4,2.949,3.0,0.722,0.015,6.345,9.549,0.034,0.0002,492
max-potato,ADAPTATION,1,,chari+silage,265,269,0.4,2.734,4.375,0.9,0,0,0,0,0,266
max-potato,ADAPTATION,2,,chari+silage,265,269,0.58,3.083,5.84,0.85,0.001,0,0,0,0,303
max-potato,ADAPTATION,3,,chari+silage,265,269,0.76,3.49,6,0.815,0.003,0.998,0,0,0,349
max-potato,ADAPTATION,4,,chari+silage,265,269,0.94,3.889,6,0.736,0.005,2.258,0,0,0,395
max-potato,ADAPTATION,5,,chari+silage,265,269,1.12,4.288,6,0.636,0.008,3.596,0,0,0,443
max-potato,ADAPTATION,6,,chari+silage,265,269,1.4,4.986,3,0.533,0.015,7.768,0,0,0,531
max-potato,ADAPTATION,7,,chari+silage,265,269,1.4,4.986,3,0.533,0.015,7.768,0,0,0,531
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,265,269,1.4,2.987,3.0,0.736,0.015,12.152,1.932,0.035,0.0002,502
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,265,269,1.4,2.987,3.0,0.736,0.015,10.723,3.863,0.035,0.0002,501
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,265,269,1.4,2.987,3.0,0.736,0.015,9.294,5.795,0.035,0.0002,500
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,265,269,1.4,2.987,3.0,0.736,0.015,7.864,7.726,0.035,0.0002,499
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,265,269,1.4,2.987,3.0,0.736,0.015,6.435,9.658,0.035,0.0002,498
max-potato,STEADY,,,chari+silage,265,269,1.4,2.987,3.0,0.736,0.015,6.435,9.658,0.035,0.0002,498
max-potato,ADAPTATION,1,,chari+silage,270,274,0.4,2.765,4.479,0.9,0,0,0,0,0,269
max-potato,ADAPTATION,2,,chari+silage,270,274,0.58,3.117,5.957,0.85,0.001,0,0,0,0,306
max-potato,ADAPTATION,3,,chari+silage,270,274,0.76,3.529,6,0.815,0.003,1.089,0,0,0,353
max-potato,ADAPTATION,4,,chari+silage,270,274,0.94,3.932,6,0.736,0.006,2.36,0,0,0,400
max-potato,ADAPTATION,5,,chari+silage,270,274,1.12,4.336,6,0.637,0.008,3.708,0,0,0,448
max-potato,ADAPTATION,6,,chari+silage,270,274,1.4,5.041,3,0.483,0.016,8.09,0,0,0,538
max-potato,ADAPTATION,7,,chari+silage,270,274,1.4,5.041,3,0.483,0.016,8.09,0,0,0,538
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,270,274,1.4,3.025,3.0,0.75,0.015,12.302,1.953,0.035,0.0002,508
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,270,274,1.4,3.025,3.0,0.75,0.015,10.857,3.905,0.035,0.0002,507
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,270,274,1.4,3.025,3.0,0.75,0.015,9.412,5.858,0.035,0.0002,506
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,270,274,1.4,3.025,3.0,0.75,0.015,7.967,7.811,0.035,0.0002,505
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,270,274,1.4,3.025,3.0,0.75,0.015,6.522,9.764,0.035,0.0002,504
max-potato,STEADY,,,chari+silage,270,274,1.4,3.025,3.0,0.75,0.015,6.522,9.764,0.035,0.0002,504
max-potato,ADAPTATION,1,,chari+silage,275,279,0.4,2.794,4.579,0.9,0,0,0,0,0,272
max-potato,ADAPTATION,2,,chari+silage,275,279,0.57,3.154,6,0.865,0.001,0,0,0,0,310
max-potato,ADAPTATION,3,,chari+silage,275,279,0.76,3.567,6,0.816,0.003,1.178,0,0,0,357
max-potato,ADAPTATION,4,,chari+silage,275,279,0.94,3.974,6,0.736,0.006,2.458,0,0,0,405
max-potato,ADAPTATION,5,,chari+silage,275,279,1.11,4.382,6,0.637,0.009,3.817,0,0,0,453
max-potato,ADAPTATION,6,,chari+silage,275,279,1.4,5.095,3,0.429,0.017,8.429,0,0,0,546
max-potato,ADAPTATION,7,,chari+silage,275,279,1.4,5.095,3,0.429,0.017,8.429,0,0,0,546
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,275,279,1.4,3.062,3.0,0.764,0.015,12.452,1.974,0.035,0.0002,514
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,275,279,1.4,3.062,3.0,0.764,0.015,10.991,3.948,0.035,0.0002,513
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,275,279,1.4,3.062,3.0,0.764,0.015,9.531,5.922,0.035,0.0002,512
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,275,279,1.4,3.062,3.0,0.764,0.015,8.07,7.896,0.035,0.0002,511
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,275,279,1.4,3.062,3.0,0.764,0.015,6.609,9.869,0.035,0.0002,510
max-potato,STEADY,,,chari+silage,275,279,1.4,3.062,3.0,0.764,0.015,6.609,9.869,0.035,0.0002,510
max-potato,ADAPTATION,1,,chari+silage,280,284,0.4,2.822,4.676,0.9,0,0,0,0,0,275
max-potato,ADAPTATION,2,,chari+silage,280,284,0.57,3.191,6,0.885,0.001,0.011,0,0,0,313
max-potato,ADAPTATION,3,,chari+silage,280,284,0.75,3.603,6,0.816,0.003,1.263,0,0,0,361
max-potato,ADAPTATION,4,,chari+silage,280,284,0.93,4.015,6,0.737,0.006,2.554,0,0,0,409
max-potato,ADAPTATION,5,,chari+silage,280,284,1.11,4.427,6,0.638,0.009,3.922,0,0,0,458
max-potato,ADAPTATION,6,,chari+silage,280,284,1.4,5.147,3,0.369,0.017,8.785,0,0,0,553
max-potato,ADAPTATION,7,,chari+silage,280,284,1.4,5.147,3,0.369,0.017,8.785,0,0,0,553
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,280,284,1.4,3.098,3.0,0.778,0.015,12.598,1.994,0.036,0.0002,520
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,280,284,1.4,3.098,3.0,0.778,0.015,11.122,3.989,0.036,0.0002,519
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,280,284,1.4,3.098,3.0,0.778,0.015,9.646,5.983,0.036,0.0002,518
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,280,284,1.4,3.098,3.0,0.778,0.015,8.17,7.978,0.036,0.0002,517
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,280,284,1.4,3.098,3.0,0.778,0.015,6.694,9.972,0.036,0.0002,516
max-potato,STEADY,,,chari+silage,280,284,1.4,3.098,3.0,0.778,0.015,6.694,9.972,0.036,0.0002,516
max-potato,ADAPTATION,1,,chari+silage,285,289,0.4,2.85,4.77,0.9,0,0,0,0,0,278
max-potato,ADAPTATION,2,,chari+silage,285,289,0.57,3.222,6,0.886,0.001,0.084,0,0,0,317
max-potato,ADAPTATION,3,,chari+silage,285,289,0.75,3.638,6,0.817,0.004,1.345,0,0,0,365
max-potato,ADAPTATION,4,,chari+silage,285,289,0.93,4.054,6,0.737,0.006,2.646,0,0,0,414
max-potato,ADAPTATION,5,,chari+silage,285,289,1.1,4.47,6,0.638,0.009,4.024,0,0,0,463
max-potato,ADAPTATION,6,,chari+silage,285,289,1.4,5.198,3,0.304,0.018,9.157,0,0,0,561
max-potato,ADAPTATION,7,,chari+silage,285,289,1.4,5.198,3,0.304,0.018,9.157,0,0,0,561
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,285,289,1.4,3.134,3.0,0.792,0.015,12.742,2.015,0.036,0.0002,526
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,285,289,1.4,3.134,3.0,0.792,0.015,11.251,4.03,0.036,0.0002,524
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,285,289,1.4,3.134,3.0,0.792,0.015,9.76,6.044,0.036,0.0002,523
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,285,289,1.4,3.134,3.0,0.792,0.015,8.269,8.059,0.036,0.0002,522
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,285,289,1.4,3.134,3.0,0.792,0.015,6.778,10.074,0.036,0.0002,521
max-potato,STEADY,,,chari+silage,285,289,1.4,3.134,3.0,0.792,0.015,6.778,10.074,0.036,0.0002,521
max-potato,ADAPTATION,1,,chari+silage,290,294,0.42,2.946,5.098,0.9,0.001,0,0,0,0,288
max-potato,ADAPTATION,2,,chari+silage,290,294,0.6,3.331,6,0.886,0.002,0.342,0,0,0,329
max-potato,ADAPTATION,3,,chari+silage,290,294,0.78,3.761,6,0.817,0.004,1.636,0,0,0,379
max-potato,ADAPTATION,4,,chari+silage,290,294,0.96,4.191,6,0.738,0.007,2.97,0,0,0,429
max-potato,ADAPTATION,5,,chari+silage,290,294,1.14,4.62,6,0.639,0.01,4.382,0,0,0,480
max-potato,ADAPTATION,6,,chari+silage,290,294,1.4,5.373,3,0.3,0.018,8.908,0,0,0,569
max-potato,ADAPTATION,7,,chari+silage,290,294,1.4,5.373,3,0.3,0.018,8.908,0,0,0,569
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,290,294,1.4,3.169,3.0,0.805,0.015,12.88,2.034,0.037,0.0002,531
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,290,294,1.4,3.169,3.0,0.805,0.015,11.375,4.069,0.037,0.0002,530
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,290,294,1.4,3.169,3.0,0.805,0.015,9.87,6.103,0.037,0.0002,529
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,290,294,1.4,3.169,3.0,0.805,0.015,8.364,8.137,0.037,0.0002,528
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,290,294,1.4,3.169,3.0,0.805,0.015,6.859,10.172,0.037,0.0002,527
max-potato,STEADY,,,chari+silage,290,294,1.4,3.169,3.0,0.805,0.015,6.859,10.172,0.037,0.0002,527
max-potato,ADAPTATION,1,,chari+silage,295,299,0.42,2.976,5.2,0.9,0.001,0,0,0,0,291
max-potato,ADAPTATION,2,,chari+silage,295,299,0.59,3.365,6,0.887,0.002,0.421,0,0,0,333
max-potato,ADAPTATION,3,,chari+silage,295,299,0.78,3.799,6,0.818,0.004,1.726,0,0,0,383
max-potato,ADAPTATION,4,,chari+silage,295,299,0.96,4.233,6,0.739,0.007,3.07,0,0,0,434
max-potato,ADAPTATION,5,,chari+silage,295,299,1.13,4.667,6,0.639,0.01,4.492,0,0,0,485
max-potato,ADAPTATION,6,,chari+silage,295,299,1.39,5.427,3,0.3,0.018,9.035,0,0,0,575
max-potato,ADAPTATION,7,,chari+silage,295,299,1.39,5.427,3,0.3,0.018,9.035,0,0,0,575
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,295,299,1.39,3.203,3.0,0.818,0.015,13.016,2.054,0.037,0.0002,537
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,295,299,1.39,3.203,3.0,0.818,0.015,11.496,4.107,0.037,0.0002,535
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,295,299,1.39,3.203,3.0,0.818,0.015,9.977,6.161,0.037,0.0002,534
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,295,299,1.39,3.203,3.0,0.818,0.015,8.457,8.214,0.037,0.0002,533
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,295,299,1.39,3.203,3.0,0.818,0.015,6.938,10.268,0.037,0.0002,532
max-potato,STEADY,,,chari+silage,295,299,1.39,3.203,3.0,0.818,0.015,6.938,10.268,0.037,0.0002,532
max-potato,ADAPTATION,1,,chari+silage,300,304,0.42,3.005,5.3,0.9,0.001,0,0,0,0,294
max-potato,ADAPTATION,2,,chari+silage,300,304,0.59,3.398,6,0.887,0.002,0.498,0,0,0,336
max-potato,ADAPTATION,3,,chari+silage,300,304,0.77,3.836,6,0.818,0.004,1.813,0,0,0,387
max-potato,ADAPTATION,4,,chari+silage,300,304,0.95,4.275,6,0.739,0.007,3.168,0,0,0,438
max-potato,ADAPTATION,5,,chari+silage,300,304,1.13,4.713,6,0.64,0.01,4.6,0,0,0,490
max-potato,ADAPTATION,6,,chari+silage,300,304,1.39,5.48,3,0.3,0.019,9.159,0,0,0,581
max-potato,ADAPTATION,7,,chari+silage,300,304,1.39,5.48,3,0.3,0.019,9.159,0,0,0,581
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,300,304,1.39,3.236,3.0,0.83,0.016,13.149,2.072,0.037,0.0002,542
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,300,304,1.39,3.236,3.0,0.83,0.016,11.615,4.145,0.037,0.0002,541
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,300,304,1.39,3.236,3.0,0.83,0.016,10.082,6.217,0.037,0.0002,540
max-potato,INGREDIENT_RAMP,4,Potato,chari+silage,300,304,1.39,3.236,3.0,0.83,0.016,8.548,8.289,0.037,0.0002,539
max-potato,INGREDIENT_RAMP,5,Potato,chari+silage,300,304,1.39,3.236,3.0,0.83,0.016,7.015,10.361,0.037,0.0002,538
max-potato,STEADY,,,chari+silage,300,304,1.39,3.236,3.0,0.83,0.016,7.015,10.361,0.037,0.0002,538
max-potato,ADAPTATION,1,,chari+silage,305,309,0.42,3.034,5.397,0.9,0.001,0,0,0,0,297
max-potato,ADAPTATION,2,,chari+silage,305,309,0.59,3.43,6,0.888,0.002,0.573,0,0,0,340
max-potato,ADAPTATION,3,,chari+silage,305,309,0.77,3.873,6,0.819,0.005,1.898,0,0,0,391
max-potato,ADAPTATION,4,,chari+silage,305,309,0.95,4.315,6,0.739,0.007,3.263,0,0,0,443
max-potato,ADAPTATION,5,,chari+silage,305,309,1.12,4.758,6,0.64,0.01,4.705,0,0,0,495
max-potato,ADAPTATION,6,,chari+silage,305,309,1.38,5.532,3,0.3,0.019,9.28,0,0,0,587
max-potato,ADAPTATION,7,,chari+silage,305,309,1.38,5.532,3,0.3,0.019,9.28,0,0,0,587
max-potato,INGREDIENT_RAMP,1,Potato,chari+silage,305,309,1.38,3.269,3.0,0.842,0.016,13.279,2.091,0.038,0.0002,547
max-potato,INGREDIENT_RAMP,2,Potato,chari+silage,305,309,1.38,3.269,3.0,0.842,0.016,11.732,4.181,0.038,0.0002,546
max-potato,INGREDIENT_RAMP,3,Potato,chari+silage,305,309,1.38,3.269,3.0,0.842,0.016,10.185,6.272,0.038,0.0002,545
